"source_dataset_id","player_id","club_id","original_player_name","original_team_name","player_age_years","market_value_mln","value_rank","plays_in_europe","matches_played","goals","assists","minutes_per_goal","minutes_played","instagram_followers_mln"
"1","534","84","Kerem Aktürkoğlu","Galatasaray","25","15.0","4","1","1","0","0","0","45","2.7"
"1","168","186","Ché Adams","Torino","28","15.0","4","1","370","102","38","229","23394","0.128"
"1","50","18","Anders Dreyer","Anderlecht","26","15.0","4","1","2","0","0","0","180","25.9"
"1","794","20","Reiss Nelson","Arsenal","24","15.0","4","1","218","44","29","252","11099","0.995"
"1","817","80","Roland Sallai","Friburgo FC ","27","15.0","4","1","277","41","36","402","16465","0.11"
"1","370","141","Hirving Lozano","PSV ","29","15.0","4","1","0","0","0","0","0","1.9"
"1","53","166","Andrea Pinamonti","Sassuolo","25","15.0","4","1","259","86","18","210","12865","0.247"
"1","116","88","Borja Mayoral","Getafe FC","27","15.0","4","1","318","105","25","178","18698","0.932"
"1","581","159","Ludovic Blas","Renees","26","15.0","4","1","326","59","31","375","22132","0.121"
"1","795","39","Ricardo Horta","Braga","29","15.0","4","1","2","1","1","141","141","0.106"
"1","344","202","Gonçalo Guedes","Wolverhampton Wanderers","27","15.0","4","1","373","69","70","337","23236","0.512"
"1","513","133","Jérémie Boga","Niza","27","15.0","4","1","332","49","35","399","19552","0.273"
"1","839","12","Sadio Mané","Al-Nassar","32","15.0","4","0","538","223","104","186","41545","16.6"
"1","402","132","Jacob Murphy","Newcastle United","29","15.0","4","1","412","64","64","388","24859","0.168"
"1","719","205","Niclas Füllkrug","west haam","31","15.0","4","1","417","159","55","173","27566","0.804"
"1","806","69","Robert Lewandowski","FC Barcelona","35","15.0","4","1","771","568","152","112","63488","35.5"
"1","181","12","Cristiano Ronaldo","Al-Nassar","39","15.0","4","0","1013","759","238","109","82996","635.0"
"1","377","75","Igor Paixão","Feyenoord","24","14.0","3","1","1","0","0","0","77","0.118"
"1","226","192","Diego López","Valencia FC","22","14.0","3","1","72","12","8","360","4317","0.372"
"1","445","78","Jhon Arias","Fluminese","26","14.0","3","1","29","7","5","363","2542","0.616"
"1","951","87","Vitinha","Genova","24","14.0","3","1","162","50","14","177","8842","0.103"
"1","129","89","Bryan Gil","Girona FC","23","14.0","3","1","171","13","19","675","8778","0.313"
"1","553","48","Kyogo Furuhashi","Celtic FC","29","14.0","3","1","1","0","1","0","90","0.295"
"1","289","140","Facundo Torres","Orlando","24","14.0","3","0","25","9","5","226","2038","0.002"
"1","493","134","Josh Sargent","Norwich","24","14.0","3","1","195","55","18","239","13172","0.1"
"1","83","31","Arthur Cabral","Benfica","26","14.0","3","1","272","109","26","154","16772","0.377"
"1","501","107","Joël Piroe","Leeds United","25","14.0","3","1","293","122","31","169","20655","0.057"
"1","689","76","Moise Kean","Fiorentina","24","14.0","3","1","284","90","11","155","13027","2.5"
"1","147","74","Cengiz Ünder","Fenerbachce","27","14.0","3","1","334","65","46","313","20646","1.4"
"1","511","38","Justin Kluivert","Bournemouth","25","14.0","3","1","285","64","51","273","17460","0.673"
"1","193","107","Daniel James","Leeds United","26","14.0","3","1","274","43","45","415","17848","1.5"
"1","731","177","Nuno Santos","Sporting lisboa","29","14.0","3","1","352","57","71","394","22486","0.162"
"1","782","32","Rafa","Besiktas","31","14.0","3","0","1","1","1","90","90","0.0"
"1","446","101","Jhon Córdoba","Krasnodar","31","14.0","3","1","2","0","0","0","137","0.266"
"1","974","16","Yannick Carrasco","Al-Shabab","30","14.0","3","0","450","102","93","306","31238","0.885"
"1","518","173","Kamaldeen Sulemana","Southampton","22","13.0","3","1","137","22","17","319","7016","0.137"
"1","786","184","Ramón Sosa","Talleres","24","13.0","3","0","21","7","6","215","1507","0.375"
"1","848","22","Samuel Iling-Junior","Aston Villa","20","13.0","3","1","136","22","24","352","7753","0.281"
"1","138","22","Cameron Archer","Aston Villa","22","13.0","3","1","169","49","17","216","10596","0.086"
"1","302","144","Fotis Ioannidis","Panatinaikos","24","13.0","3","1","210","54","15","226","12217","0.112"
"1","594","45","Lyle Foster","Burnley","23","13.0","3","1","136","24","16","331","7933","0.0"
"1","184","53","Cucho Hernández","Columbus","25","13.0","3","0","18","13","6","115","1498","0.392"
"1","603","187","Manor Solomon","Tottenham","25","13.0","3","1","209","35","17","328","11481","0.279"
"1","81","193","Arnaut Danjuma","Villareal CF","27","13.0","3","1","245","77","36","192","14808","0.417"
"1","559","2","Levi García","AEK Athenas","26","13.0","3","1","3","5","1","51","256","0.533"
"1","764","173","Paul Onuachu","Southampton","30","13.0","3","1","364","181","38","130","23499","0.153"
"1","195","202","Daniel Podence","Wolverhampton Wanderers","28","13.0","3","1","358","57","59","400","22796","0.27"
"1","142","115","Carlton Morris","Luton","28","13.0","3","1","382","90","42","288","25910","0.024"
"1","650","131","Matteo Politano","Napoli FC ","30","13.0","3","1","535","94","63","343","32275","0.635"
"1","135","132","Callum Wilson","Newcastle United","32","13.0","3","1","370","140","46","192","26941","1.0"
"1","375","42","Ibrahim Osman","Brighton","19","12.0","3","1","59","13","9","275","3572","0.045"
"1","89","157","Assane Diao","Real Betis","18","12.0","3","1","53","10","2","328","3280","0.074"
"1","535","169","Kevin","Shaktar","21","12.0","3","1","1","0","1","0","73","0.375"
